soil_class,Direction,Story Area,stories,D+0.25L,L cm,architectural_archetype,connection_system,xi cm,seismic_zone,Wall,Story,yi cm
D,X,4918759.585999998,5,159330.43363914627,162.0,P,ATS,81.0,1,8.1,3,1932.0
B,X,2526612.8516999995,6,86780.352615052,127.0,C,ATS,897.24,3,2.1,3,129.58
C,X,4366070.964799999,3,111389.98561860804,120.0,Q,HD,1696.0,3,13.4,3,2483.0
A,X,5302759.515700001,4,135167.7485555116,227.5,D,HD,2860.0,3,H.2,4,806.0
D,X,2526612.8516999995,5,74171.12927172701,127.0,C,ATS,897.24,3,2.1,5,129.58
B,Y,4366070.964799999,3,121066.64556585804,289.0,Q,HD,1393.0,1,I.2,2,1906.0
C,Y,5302759.515700001,5,184513.70578942396,285.0,D,ATS,2553.0,3,26.1,3,199.0
B,X,4366070.964799999,5,144621.58206836408,330.0,Q,ATS,1569.0,1,10.3,3,1839.0
C,X,4918759.585999998,4,135130.53843563935,162.0,P,HD,81.0,1,4.1,2,788.0
C,X,5302759.515700001,4,152389.86220986157,120.0,D,HD,2290.0,1,B.4,1,56.00000000000001
B,X,5302759.515700001,3,135167.7485555116,136.5,D,HD,2943.0,1,E.3,3,475.0
B,X,5302759.515700001,3,150119.69246946156,136.5,D,HD,508.0,3,E.1,2,475.0
A,X,2526612.8516999995,5,86582.24576645202,120.0,C,ATS,2074.01,3,1.2,2,6.9
A,Y,5302759.515700001,4,149789.6605980616,232.0,D,HD,11.0,3,1.1,3,468.0
B,Y,4366070.964799999,5,127151.92774681412,195.0,Q,ATS,1745.0,3,J.3,5,898.0
A,Y,4366070.964799999,5,144722.2708325641,494.0,Q,ATS,627.0,3,D.1,4,247.00000000000003
D,X,5302759.515700001,5,182015.13938437396,443.0,D,ATS,665.0,1,G.2,2,655.0
B,Y,5302759.515700001,5,183062.916253424,194.5,D,HD,2104.0,3,20.1,1,547.0
D,Y,4366070.964799999,3,121396.67743725804,352.0,Q,HD,1745.0,1,J.1,2,198.0
B,X,2526612.8516999995,5,87268.92498275201,127.0,C,HD,1577.27,1,8.2,2,1079.42
A,X,4366070.964799999,5,146729.3184026641,288.0,Q,ATS,328.0,3,3.1,1,363.0
B,Y,5302759.515700001,3,135167.7485555116,120.0,D,HD,4271.0,1,39.1,3,127.0
B,Y,2526612.8516999995,4,64840.02839625081,388.0,C,HD,1090.36,1,G.2,4,892.38
B,Y,5302759.515700001,4,152106.56320401162,122.0,D,HD,4271.0,3,39.3,1,997.0
D,Y,5302759.515700001,3,152243.9297496616,471.0,D,HD,2909.0,3,30.1,2,1053.0
B,X,4918759.585999998,5,139929.7773657962,570.0,P,HD,1473.0,1,6.2,5,1360.0
A,Y,2526612.8516999995,4,72529.17816787581,324.0,C,HD,416.35,3,D.2,1,1033.3
D,X,5302759.515700001,5,186807.9596051239,563.25,D,ATS,2476.0,3,G.5,1,655.0
A,X,5302759.515700001,4,149182.82780226163,443.0,D,HD,4167.0,1,G.8,2,655.0
C,X,2526612.8516999995,5,87588.12614585202,169.0,C,ATS,1970.56,1,6.2,2,774.5
B,Y,5302759.515700001,5,179334.22441252394,194.5,D,ATS,353.0,1,3.2,1,763.0
B,X,5302759.515700001,5,181437.31462544893,122.0,D,ATS,3411.9999999999995,1,A.2,1,11.0
