0,1,2,3,4,5,6
1.0,5.0,2.0,2.0,6.0,0.46579662,0.42876193
1.0,7.0,2.0,1.0,6.0,0.79946005,0.7729887
1.0,14.0,1.0,1.0,9.0,0.82814896,0.796754
1.0,5.0,2.0,3.0,14.0,0.47036085,0.38771865
1.0,15.0,1.0,2.0,9.0,0.59607875,0.60566413
1.0,8.0,1.0,3.0,12.0,0.31803843,0.3894548
1.0,4.0,2.0,2.0,14.0,0.4014568,0.40477106
1.0,10.0,2.0,1.0,6.0,0.5553216,0.49182627
1.0,15.0,1.0,2.0,16.0,0.5339303,0.5233942
1.0,15.0,1.0,2.0,6.0,0.59001553,0.6054772
1.0,15.0,1.0,4.0,14.0,0.91737354,0.81549406
-0.0,15.0,1.0,2.0,13.0,0.9813583,0.75441504
1.0,14.0,1.0,2.0,9.0,0.6503898,0.6636362
1.0,15.0,1.0,2.0,7.0,0.55994546,0.5547919
1.0,13.0,1.0,5.0,13.0,0.5519947,0.48209116
1.0,15.0,1.0,3.0,22.0,0.61626506,0.58021414
1.0,15.0,1.0,2.0,8.0,0.88233864,0.8787329
1.0,5.0,2.0,2.0,13.0,0.5873418,0.5037544
1.0,8.0,1.0,4.0,26.0,0.5171293,0.5426754
1.0,15.0,1.0,4.0,15.0,0.9164877,0.84935296
1.0,10.0,1.0,3.0,8.0,0.6296562,0.5733807
1.0,9.0,2.0,1.0,5.0,0.57462776,0.47919068
1.0,16.0,1.0,2.0,12.0,0.555619,0.47660813
1.0,6.0,1.0,2.0,15.0,0.5804299,0.49291942
1.0,5.0,2.0,2.0,9.0,0.4318023,0.4145281
-0.0,11.0,1.0,1.0,16.0,0.732896,0.62686276
1.0,14.0,1.0,1.0,9.0,0.7989347,0.81048274
1.0,15.0,1.0,3.0,13.0,0.5381408,0.49075088
1.0,7.0,1.0,4.0,14.0,0.34257838,0.31559846
0.0,14.0,1.0,2.0,6.0,0.65358937,0.49692485
1.0,9.0,1.0,1.0,10.0,0.62279046,0.5830296
1.0,9.0,1.0,5.0,14.0,0.5608003,0.4971628
1.0,9.0,1.0,1.0,21.0,0.5207714,0.51025057
1.0,14.0,1.0,3.0,11.0,0.7337619,0.66336143
-0.0,9.0,1.0,3.0,14.0,0.38845,0.35722706
1.0,7.0,2.0,1.0,6.0,0.44912443,0.42769703
1.0,6.0,2.0,2.0,19.0,0.39137515,0.4006935
1.0,13.0,1.0,1.0,27.0,0.7608191,0.64885724
1.0,6.0,1.0,2.0,24.0,0.61812603,0.71675813
1.0,10.0,1.0,4.0,11.0,0.35265157,0.3455151
1.0,9.0,2.0,1.0,5.0,0.75004506,0.65981627
-0.0,15.0,1.0,3.0,12.0,0.44691178,0.3598865
-0.0,9.0,1.0,2.0,14.0,0.66228426,0.59726346
-0.0,10.0,1.0,1.0,10.0,0.580096,0.524214
1.0,13.0,1.0,1.0,16.0,0.7288244,0.7158935
1.0,13.0,1.0,4.0,13.0,0.88277435,0.83110654
1.0,5.0,2.0,1.0,6.0,0.44866607,0.53546727
-0.0,15.0,1.0,3.0,10.0,0.99806213,0.8101654
0.0,15.0,1.0,2.0,12.0,0.97802615,0.77976
0.0,11.0,1.0,3.0,8.0,0.98541605,0.80177855
1.0,8.0,2.0,3.0,9.0,0.5649229,0.62549686
-0.0,11.0,1.0,1.0,7.0,0.58684814,0.53203213
1.0,13.0,1.0,2.0,9.0,0.66350734,0.58227944
1.0,16.0,1.0,2.0,11.0,0.6068312,0.56701994
1.0,5.0,2.0,1.0,7.0,0.62966967,0.52037704
1.0,15.0,1.0,2.0,6.0,0.6518415,0.6025015
1.0,15.0,1.0,2.0,10.0,0.85865486,0.8072343
1.0,8.0,2.0,1.0,7.0,0.6604786,0.71119535
1.0,15.0,1.0,3.0,10.0,0.8536645,0.8105924
1.0,15.0,1.0,2.0,11.0,0.68927085,0.7190124
1.0,15.0,1.0,2.0,10.0,0.90400696,0.8025172
1.0,14.0,1.0,2.0,9.0,0.63274086,0.6362176
1.0,15.0,1.0,2.0,6.0,0.686573,0.61622834
1.0,8.0,2.0,4.0,10.0,0.67295647,0.5900011
1.0,15.0,1.0,1.0,8.0,0.82409155,0.8009397
1.0,14.0,1.0,3.0,17.0,0.8514738,0.8016019
1.0,15.0,1.0,2.0,12.0,0.63766336,0.5862807
1.0,11.0,1.0,3.0,8.0,0.8777034,0.78871334
1.0,15.0,1.0,2.0,23.0,0.5518273,0.5341979
1.0,5.0,2.0,1.0,5.0,0.42282793,0.41022488
1.0,15.0,1.0,1.0,13.0,0.85151374,0.75320995
1.0,11.0,1.0,4.0,11.0,0.7097162,0.63274205
