architectural_archetype,stories,soil_class,seismic_zone,connection_system,Tx(s),Ty(s)
P,5,C,3,ATS,0.447565938162885,0.45487314485145786
P,5,B,3,ATS,0.5765915346413583,0.6276391136819877
P,5,A,3,ATS,0.6158407855470023,0.6642428736028939
P,5,A,3,ATS,0.7243195887208966,0.7287964858817394
P,5,D,1,ATS,0.5203505476765594,0.5227026516974819
P,5,D,1,ATS,0.6010381571436136,0.6076663008988842
P,5,C,1,ATS,0.5864894978384791,0.6809740692275751
P,5,C,1,ATS,0.8982690647139107,0.8308156717950639
P,5,B,1,ATS,0.7572322605636899,0.7661684340157836
P,5,B,1,ATS,0.9244918251824533,0.8308156717950639
P,5,A,1,ATS,0.8176945833962966,0.8144266012442644
P,5,A,1,ATS,0.9419766420850841,0.8308156717950639
P,6,B,3,ATS,0.512852833362901,0.674076854111686
P,6,B,3,ATS,0.639402749507476,0.710701568994087
P,6,D,1,ATS,0.620554541790963,0.666352518980328
P,6,D,1,ATS,0.625421104150309,0.66640402399273
P,3,D,3,HD,0.2840282054632264,0.3160743922775344
P,3,D,3,HD,0.32144389797581274,0.3370278291173449
P,3,C,3,HD,0.3164497498756876,0.3367556167303343
P,3,C,3,HD,0.35565734815469435,0.3756882004899666
P,3,B,3,HD,0.3300251526725958,0.3456195634259183
P,3,B,3,HD,0.37077352400686725,0.39194962809466644
P,3,A,3,HD,0.521976325038113,0.5038055848698969
P,3,A,3,HD,0.5457298149265469,0.5064937884162048
P,3,D,1,HD,0.42236485641149224,0.45457851502841995
P,3,D,1,HD,0.34809973681428436,0.28795938789782016
P,3,C,1,HD,0.4718904767052348,0.46922390574257156
P,3,C,1,HD,0.5426693216680856,0.49264740536475315
P,3,B,1,HD,0.5530003204201479,0.5074586947632335
P,3,B,1,HD,0.5952828120095582,0.515661878550169
P,3,A,1,HD,0.6080269936094518,0.5508464461397147
P,3,A,1,HD,0.6080269936094518,0.5508464461397147
P,4,A,3,HD,0.6002252593554468,0.6209946983252629
P,4,A,3,HD,0.659408367806248,0.6329903151901433
P,4,D,1,HD,0.47099969812780607,0.5096432736168628
P,4,D,1,HD,0.5498085512271167,0.5655930995718379
P,4,C,1,HD,0.4967166289056716,0.5680544650249161
P,4,C,1,HD,0.6910813104187638,0.6331489619286536
P,4,B,1,HD,0.7265320423550203,0.6510514383889913
P,4,B,1,HD,0.7335397752956739,0.6670511479437574
P,4,A,1,HD,0.7553891951144738,0.6778760765071459
P,4,A,1,HD,0.7564723398545073,0.6778760765071459
P,5,A,3,HD,0.5698714913915048,0.6899538266225329
P,5,A,3,HD,0.7069885761816584,0.7030018513246379
P,5,C,1,HD,0.8947265299802437,0.8340195161935228
P,5,B,1,HD,0.8334361279042876,0.8379261593726433
P,5,B,1,HD,0.9142761304278858,0.8378215080371674
