architectural_archetype,stories,soil_class,seismic_zone,Story,Direction,Wall,L [cm],xi [cm],Story,Direction,Wall,L [cm],xi [cm]
P,5,C,3,1,X,1.1,270,438.99999999999994,1,X,1.1,270,438.99999999999994
P,5,C,3,1,X,1.2,270,1503,1,X,1.2,270,1503
P,5,C,3,1,X,2.1,149,886,1,X,2.1,149,886
P,5,C,3,1,X,2.2,149,1057,1,X,2.2,149,1057
P,5,C,3,1,X,3.1,544,272,1,X,3.1,544,272
P,5,C,3,1,X,3.2,224,848,1,X,3.2,224,848
P,5,C,3,1,X,3.3,224,1094,1,X,3.3,224,1094
P,5,C,3,1,X,3.4,544,1670,1,X,3.4,544,1670
P,5,C,3,1,X,4.1,162,81,1,X,4.1,162,81
P,5,C,3,1,X,4.2,338,353,1,X,4.2,338,353
P,5,C,3,1,X,4.3,470,971.0000000000001,1,X,4.3,470,971.0000000000001
P,5,C,3,1,X,4.4,338,1589,1,X,4.4,338,1589
P,5,C,3,1,X,4.5,162,1861,1,X,4.5,162,1861
P,5,C,3,1,X,5.1,152,695,1,X,5.1,152,695
P,5,C,3,1,X,5.2,152,1247,1,X,5.2,152,1247
P,5,C,3,1,X,6.1,570,469.00000000000006,1,X,6.1,570,469.00000000000006
P,5,C,3,1,X,6.2,570,1473,1,X,6.2,570,1473
P,5,C,3,1,X,7.1,152,689,1,X,7.1,152,689
P,5,C,3,1,X,7.2,152,1243,1,X,7.2,152,1243
P,5,C,3,1,X,8.1,162,81,1,X,8.1,162,81
P,5,C,3,1,X,8.2,338,353,1,X,8.2,338,353
P,5,C,3,1,X,8.3,470,971.0000000000001,1,X,8.3,470,971.0000000000001
P,5,C,3,1,X,8.4,338,1589,1,X,8.4,338,1589
P,5,C,3,1,X,8.5,162,1861,1,X,8.5,162,1861
P,5,C,3,1,X,9.1,544,272,1,X,9.1,544,272
P,5,C,3,1,X,9.2,224,848,1,X,9.2,224,848
P,5,C,3,1,X,9.3,224,1094,1,X,9.3,224,1094
P,5,C,3,1,X,9.4,544,1670,1,X,9.4,544,1670
P,5,C,3,1,X,10.1,149,886,1,X,10.1,149,886
P,5,C,3,1,X,10.2,149,1057,1,X,10.2,149,1057
P,5,C,3,1,X,11.1,270,438.99999999999994,1,X,11.1,270,438.99999999999994
P,5,C,3,1,X,11.2,270,1503,1,X,11.2,270,1503
P,5,C,3,1,Y,B.1,284,173,1,Y,B.1,284,173
P,5,C,3,1,Y,B.2,276,173,1,Y,B.2,276,173
P,5,C,3,1,Y,B.3,422,173,1,Y,B.3,422,173
P,5,C,3,1,Y,B.4,276,173,1,Y,B.4,276,173
P,5,C,3,1,Y,B.5,284,173,1,Y,B.5,284,173
P,5,C,3,1,Y,C.1,287,533,1,Y,C.1,287,533
P,5,C,3,1,Y,C.2,200,533,1,Y,C.2,200,533
P,5,C,3,1,Y,C.3,200,533,1,Y,C.3,200,533
P,5,C,3,1,Y,C.4,287,533,1,Y,C.4,287,533
P,5,C,3,1,Y,D.1,799,645,1,Y,D.1,799,645
P,5,C,3,1,Y,D.2,799,645,1,Y,D.2,799,645
P,5,C,3,1,Y,E.1,722,765,1,Y,E.1,722,765
P,5,C,3,1,Y,F.1,777,971.0000000000001,1,Y,F.1,777,971.0000000000001
P,5,C,3,1,Y,F.2,777,971.0000000000001,1,Y,F.2,777,971.0000000000001
P,5,C,3,1,Y,G.1,722,1177,1,Y,G.1,722,1177
P,5,C,3,1,Y,H.1,799,1297,1,Y,H.1,799,1297
P,5,C,3,1,Y,H.2,799,1297,1,Y,H.2,799,1297
P,5,C,3,1,Y,I.1,287,1409,1,Y,I.1,287,1409
P,5,C,3,1,Y,I.2,200,1409,1,Y,I.2,200,1409
P,5,C,3,1,Y,I.3,200,1409,1,Y,I.3,200,1409
P,5,C,3,1,Y,I.4,287,1409,1,Y,I.4,287,1409
P,5,C,3,1,Y,J.1,284,1769.0000000000002,1,Y,J.1,284,1769.0000000000002
P,5,C,3,1,Y,J.2,276,1769.0000000000002,1,Y,J.2,276,1769.0000000000002
P,5,C,3,1,Y,J.3,422,1769.0000000000002,1,Y,J.3,422,1769.0000000000002
P,5,C,3,1,Y,J.4,276,1769.0000000000002,1,Y,J.4,276,1769.0000000000002
P,5,C,3,1,Y,J.5,284,1769.0000000000002,1,Y,J.5,284,1769.0000000000002
P,5,C,3,2,X,1.1,270,438.99999999999994,2,X,1.1,270,438.99999999999994
P,5,C,3,2,X,1.2,270,1503,2,X,1.2,270,1503
P,5,C,3,2,X,2.1,149,886,2,X,2.1,149,886
P,5,C,3,2,X,2.2,149,1057,2,X,2.2,149,1057
P,5,C,3,2,X,3.1,544,272,2,X,3.1,544,272
P,5,C,3,2,X,3.2,224,848,2,X,3.2,224,848
P,5,C,3,2,X,3.3,224,1094,2,X,3.3,224,1094
P,5,C,3,2,X,3.4,544,1670,2,X,3.4,544,1670
P,5,C,3,2,X,4.1,162,81,2,X,4.1,162,81
P,5,C,3,2,X,4.2,338,353,2,X,4.2,338,353
P,5,C,3,2,X,4.3,470,971.0000000000001,2,X,4.3,470,971.0000000000001
P,5,C,3,2,X,4.4,338,1589,2,X,4.4,338,1589
